,Mexico_City,Quito,Miami,San_Salvador,Mendoza,Guadalajara,Merida,Washington,Monterrey,Managua,Caracas,Boston,Buenos Aires,New_York,Panama_City,Brasilia,Montevideo,Bogotá
Mexico_City,0,"3.139,22","2.067,25","1.235,34","6.656,21","461,58","1.007,49","3.035,21","706,72","1.600,03","3.610,17","3.669,42","7.400,46","3.363,15","2.320,39","6.844,26","7.563,06","3.180,84"
Quito,"3.139,22",0,"2.896,95","1.946,85","3.778,40","3.566,14","2.648,71","4.353,69","3.715,40","1.618,53","1.753,01","4.793,33","4.364,95","4.574,57","1.003,92","3.782,72","4.506,69","722,17"
Miami,"2.067,25","2.896,95",0,"1.643,29","6.642,17","2.431,98","1.101,93","1.490,08","2.014,81","1.646,97","2.213,87","2.025,04","7.106,19","1.757,39","1.921,36","5.804,05","7.215,60","2.447,88"
San_Salvador,"1.235,34","1.946,85","1.643,29",0,"5.620,12","1.689,88","810,80","3.051,77","1.768,68","365,57","2.465,10","3.638,14","6.287,37","3.352,08","1.085,23","5.609,54","6.437,62","1.946,26"
Mendoza,"5.620,12","3.778,40","6.642,17","5.620,12",0,"6.999,50","6.389,59","8.037,17","7.324,03","5.342,90","4.831,65","8.379,70","986,54","8.210,60","4.782,32","2.842,28","1.191,93","4.209,58"
Guadalajara,"461,58","3.566,14","2.431,98","1.689,88","6.999,50",0,"1.427,84","3.232,86","639,86","2.055,37","4.068,98","3.861,97","7.775,31","3.558,27","2.774,79","7.293,70","7.943,35","3.636,08"
Merida,"1.007,49","2.648,71","1.101,93","810,80","6.389,59","1.427,84",0,"2.332,02","1.211,75","1.046,69","2.705,58","2.946,35","7.013,66","2.647,97","1.678,18","6.126,87","7.154,23","2.479,31"
Washington,"3.035,21","4.353,69","1.490,08","3.051,77","8.037,17","3.232,86","2.332,02",0,"2.626,44","3.116,26","3.325,03","634,21","8.405,94","327,95","3.401,36","6.803,86","8.492,81","3.830,98"
Monterrey,"706,72","3.715,40","2.014,81","1.768,68","7.324,03","639,86","1.211,75","2.626,44",0,"2.110,47","3.913,11","3.249,25","8.037,59","2.948,38","2.813,90","7.319,31","8.193,42","3652,58"
Managua,"1.600,03","1.618,53","1.646,97","365,57","5.342,90","459,84","1.046,69","3.116,26","2.110,47",0,"2.130,53","3.671,61","5.978,18","3.399,13","720,46","5.246,41","6.123,25","1.580,96"
Caracas,"3.610,17","1.753,01","2.213,87","2.465,10","4.831,65","4.068,98","2.705,58","3.325,03","3.913,11","2.130,53",0,"3.573,96","5.095,70","3.440,40","1.549,52","3.591,13","5.173,74","1034,74"
Boston,"3.669,42","4.793,33","2.025,04","3.638,14","8.379,70","3.861,97","2.946,35","634,21","3.249,25","3.671,61","3.573,96",0,"8.664,31","306,28","3.883,50","6.896,03","8.733,36","4.214,08"
Buenos Aires,"7.400,46","4.364,95","7.106,19","6.287,37","986,54","7.775,31","7.013,66","8.405,94","8.037,59","5.978,18","5.095,70","8.664,31",0,"8.535,75","5.350,94","2.342,07","205,46","4.664,04"
New_York,"3.363,15","4.574,57","1.757,39","3.352,08","8.210,60","3.558,27","2.647,97","327,95","2.948,38","3.399,13","3.440,40","306,28","8.535,75",0,"3.643,92","6.844,91","8.613,42","4.020,28"
Panama_City,"2.320,39","1.003,92","1.921,36","1.085,23","4.782,32","2.774,79","1.678,18","3.401,36","2.813,90","720,46","1.549,52","3.883,50","5.350,94","3.643,92",0,"4.526,53","5.485,62","861,49"
Brasilia,"6.844,26","3.782,72","5.804,05","5.609,54","2.842,28","7.293,70","6.126,87","6.803,86","7.319,31","5.246,41","3.591,13","6.896,03","2.342,07","6.844,91","4.526,53",0,"2.281,93","3.671,62"
Montevideo,"7.563,06","4.506,69","7.215,60","6.437,62","1.191,93","7.943,35","7.154,23","8.492,81","8.193,42","6.123,25","5.173,74","8.733,36","205,46","8.613,42","5.485,62","2.281,93",0,"4.780,57"
Bogotá,"3.180,84","722,17","2.447,88","1.946,26","4.209,58","3.636,08","2.479,31","3.830,98","3.652,80","1.580,96","1.034,74","4.214,08","4.664,04","4.020,28","861,49","3.671,62","4.780,57",0
